Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant
2024,22108,6,6003,Andon,2024-08-15 15:44:00,200,200.0,0.0,0.0,0.0,0.0,,,,,Estimées,4.0,Non,,,,,Naturelle,0
2023,10343,2B,2B116,Focicchia,2023-10-10 13:53:00,7000,0.0,7000.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Malveillance,1
2023,9051,6,6074,Lantosque,2023-09-14 16:14:00,1000,1000.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Naturelle,0
2022,15291,13,13051,Lançon-Provence,2022-06-09 12:16:00,5000,5000.0,,,,,,,,,,1.0,,,,,,Malveillance,1
2022,17848,7,7145,Lussas,2022-07-27 09:43:00,11200800,4059400.0,6879500.0,,,,,,,261900.0,,1.0,,,,,,Malveillance,1
2023,19908,33,33012,Arsac,2023-06-19 14:24:01,5000,500.0,,4500.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Naturelle,0
2023,21637,83,83134,Taradeau,2023-06-29 07:33:00,13,13.0,0.0,0.0,0.0,0.0,,,,,Estimées,4.0,Non,,,,Données partielles ou non valides,Accidentelle,0
2024,24977,11,11411,Villanière,2024-11-04 20:53:00,100,0.0,100.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Accidentelle,0
2023,5168,34,34332,Vias,2023-07-06 00:48:00,1557,0.0,1557.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Malveillance,1
2022,15972,11,11337,Saint-Couat-d'Aude,2022-03-03 15:06:00,28400,,,,,,,,,,,,,,,,,Involontaire (particulier),0
2024,22772,13,13106,Septèmes-les-Vallons,2024-08-29 15:29:00,230,230.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2023,4715,13,13044,Grans,2023-04-18 17:15:00,200,200.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Malveillance,1
2022,6507,56,56030,Camoël,2022-07-20 20:52:00,2,0.0,,2.0,,,2.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (travaux),0
2023,4720,13,13026,Châteauneuf-les-Martigues,2023-04-22 12:17:00,10,10.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2022,20031,2B,2B183,Ogliastro,2022-10-24 07:58:00,1571400,668700.0,882800.0,,,,,,,19900.0,,1.0,,,,,,Malveillance,1
2023,13486,34,34336,Villeneuve-lès-Béziers,2023-07-03 15:46:00,153997,0.0,153997.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2023,5017,13,13085,Roquefort-la-Bédoule,2023-07-13 16:06:00,500,500.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2022,7259,61,61332,Pointel,2022-07-19 09:21:36,5000,0.0,,5000.0,,,5000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2022,3742,35,35119,Gennes-sur-Seiche,2022-07-17 13:44:00,100,0.0,,100.0,,,100.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (particulier),0
2023,21363,83,83003,Ampus,2023-01-21 13:31:00,18000,0.0,18000.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Involontaire (particulier),0
2022,13765,2B,2B302,San-Giovanni-di-Moriani,2022-02-12 13:58:00,3000,,,,,,,,,,,,,,,,,Malveillance,1
2024,19257,34,34188,Olmet-et-Villecun,2024-04-19 13:42:00,1,1.0,0.0,0.0,0.0,0.0,,,,,Mesurées,4.0,Non,,,,,Malveillance,1
2023,22017,24,24159,Échourgnac,2023-03-02 17:20:00,800,800.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Involontaire (particulier),0
2024,28249,2A,2A004,Ajaccio,2024-08-01 15:05:00,24000,0.0,24000.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0
2024,21403,34,34134,Lavérune,2024-07-31 19:46:00,806,0.0,806.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Malveillance,1
2024,27232,2A,2A103,Cuttoli-Corticchiato,2024-05-27 14:08:00,50,0.0,50.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
